nft_collection_name,nft_type,verified,tradeport_url
Fever Maniac WL,0xb075419b71713d839b7c9ff4ccd7e2c31999174411f93e9b6f017e4594b7f044,True,https://www.tradeport.xyz/sui/collection/0xb075419b71713d839b7c9ff4ccd7e2c31999174411f93e9b6f017e4594b7f044
Skyward Soarer,0x9185af704124515bc588e71af96537a0e3a6d18aad56d7e0c2668cb1ddd5ca0d,True,https://www.tradeport.xyz/sui/collection/0x9185af704124515bc588e71af96537a0e3a6d18aad56d7e0c2668cb1ddd5ca0d
SEED Mon,0xe71e8e0a201c95c07e62afd6ce58fbaf63d9755a78d06d3bd33b178a2b9a7bf9::nft::Item,True,https://www.tradeport.xyz/sui/collection/0xe71e8e0a201c95c07e62afd6ce58fbaf63d9755a78d06d3bd33b178a2b9a7bf9::nft::Item
Pugwif SUINS pfp,0x7f069a21ea16d256c7a4adc22e61e26e86c25554bbd7dd96ae96c22e9eb8fc85,True,https://www.tradeport.xyz/sui/collection/0x7f069a21ea16d256c7a4adc22e61e26e86c25554bbd7dd96ae96c22e9eb8fc85
Mystic Yeti Pass Whitelist,0xb07b09b016d28f989b6adda8069096da0c0a0ff6490f6e0866858c023b061bee::mint::WhitelistPass,True,https://www.tradeport.xyz/sui/collection/0xb07b09b016d28f989b6adda8069096da0c0a0ff6490f6e0866858c023b061bee::mint::WhitelistPass
Panzerdog,0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzerdog,True,https://www.tradeport.xyz/sui/collection/0x41c06da395bc3f0ee621a66082f8f30f376da41a2db7bcce7c087444de200e41::panzerdog
BlobLifeLabs,0xdf7b8cbab32e10f4889bad220551ea33e34e41b6e2a94fc7ae9452457a0b9b56,True,https://www.tradeport.xyz/sui/collection/0xdf7b8cbab32e10f4889bad220551ea33e34e41b6e2a94fc7ae9452457a0b9b56
S Card,0xe7e651e4974fe367aa2837712d68081efb299c470242a15e2b9c26ea326159ec::card::SudoCard,True,https://www.tradeport.xyz/sui/collection/0xe7e651e4974fe367aa2837712d68081efb299c470242a15e2b9c26ea326159ec::card::SudoCard
Wave Genesis NFT,0xb32dc6b71d2c13bb220957d0664b20b9b822c1deb48c930e6d112de9303f946a,True,https://www.tradeport.xyz/sui/collection/0xb32dc6b71d2c13bb220957d0664b20b9b822c1deb48c930e6d112de9303f946a
BabyBlub,0xdc555996b4b049390d80dacf704168cb58468087dcd40cb08cd795292d3dab88,True,https://www.tradeport.xyz/sui/collection/0xdc555996b4b049390d80dacf704168cb58468087dcd40cb08cd795292d3dab88
